"","x"
"1",3.7
"2",4.26
"3",4.3
"4",4.41
"5",4.52
"6",4.57
"7",4.57
"8",4.72
"9",4.85
"10",4.92
"11",5.1
"12",5.21
"13",5.28
"14",5.28
"15",5.32
"16",5.34
"17",5.6
"18",5.6
"19",5.66
"20",5.77
"21",5.77
"22",5.81
"23",6.03
"24",6.06
"25",6.07
"26",6.09
"27",6.26
"28",6.34
"29",6.39
"30",6.4
"31",6.4
"32",6.41
"33",6.48
"34",6.55
"35",6.57
"36",6.62
"37",6.82
"38",6.85
"39",6.92
"40",6.96
"41",7
"42",7.06
"43",7.12
"44",7.24
"45",7.27
"46",7.33
"47",7.42
"48",7.42
"49",7.46
"50",7.48
"51",7.52
"52",7.72
